Filial;Pagador;Remetente;Origem;UF Origem;Destinatario;Destino;UF Destino;Modal do Frete;Data frete;Documento;Série;Classificação;Volumes;Peso Taxado;Valor NF;Valor Frete;Frete Compra;Frete compra rodoviário;Frete compra aéreo;Manifesto;Manifesto entregas;Manifesto coletas;Manifesto coletas reversa;Manifesto transferências;Manifesto despachos;Manifesto retiradas;Agentes;Agente coleta;Agente entrega;Comissões;Imposto com Difal;Despesa Operacional;Imposto;Imposto com Complementares;Outros Impostos;Seguro;Total Despesas;Margem;% Margem;Tipo de frete;Documento Origem
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;METALURGICA GOLIN SA;Guarulhos;SP;GESTAMP SOROCABA;Sorocaba;SP;Rodoviário;01/02/2026 15:00;68404/48085;"=""1""";;"=""2""";200,000;43.987,68;960,00;0,00;0,00;0,00;1.075,24;1.075,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115,20;0,00;115,20;153,60;38,40;0,00;1.228,84;-268,84;-28,00;Normal;
ENTREGAMAX TAUBATE ;ADLER PELZER PERNAMBUCO INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA.;ADLER PTI S.A.;Betim;MG;ADLER PELZER PERNAMBUCO INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA.;Goiana;PE;Rodoviário;01/02/2026 15:36;7144/48086;"=""2""";;"=""3""";3100,000;22.659,00;4.210,26;0,00;0,00;0,00;1.572,38;1.572,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;294,72;0,00;294,72;463,13;168,41;0,00;2.035,51;2.174,75;51,65;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO TAMPAS [CLTMP];CAMPO LIMPO TAMPAS [CLTMP];Taubaté;SP;OURO FINO QUIMICA S.A.;Uberaba;MG;Rodoviário;01/02/2026 15:38;68405/48087;"=""1""";;"=""17""";3665,200;136.390,60;9.855,17;0,00;0,00;0,00;5.449,88;5.449,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.182,62;0,00;1.182,62;1.576,83;394,21;0,00;7.026,71;2.828,46;28,70;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;CTVA PROTECAO DE CULTIVOS LTDA.;Franco da Rocha;SP;Rodoviário;01/02/2026 16:05;68406/48088;"=""1""";;"=""26""";2184,000;52.540,92;3.179,60;0,00;0,00;0,00;1.547,83;1.547,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;381,55;0,00;381,55;508,73;127,18;0,00;2.056,56;1.123,04;35,32;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;CTVA PROTECAO DE CULTIVOS LTDA.;Franco da Rocha;SP;Rodoviário;01/02/2026 16:08;68407/48089;"=""1""";;"=""22""";2904,000;67.045,83;3.196,09;0,00;0,00;0,00;1.651,96;1.651,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;383,53;0,00;383,53;511,37;127,84;0,00;2.163,33;1.032,76;32,31;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;SYNGENTA PROTECAO DE CULTIVOS LTDA;Paulínia;SP;Rodoviário;01/02/2026 16:32;68408/48090;"=""1""";;"=""360""";3960,000;80.126,28;4.207,27;0,00;0,00;0,00;2.292,46;2.292,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;504,87;0,00;504,87;673,16;168,29;0,00;2.965,62;1.241,65;29,51;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;SYNGENTA PROTECAO DE CULTIVOS LTDA;Paulínia;SP;Rodoviário;01/02/2026 16:36;68409/48091;"=""1""";;"=""360""";3960,000;80.126,28;4.207,27;0,00;0,00;0,00;2.672,46;2.672,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;504,87;0,00;504,87;673,16;168,29;0,00;3.345,62;861,65;20,48;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;ICONIC LUBRIFICANTES S.A;Duque de Caxias;RJ;Rodoviário;01/02/2026 16:56;68410/48092;"=""1""";;"=""48""";2428,800;43.625,50;3.112,91;0,00;0,00;0,00;3.063,28;3.063,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;373,55;0,00;373,55;498,07;124,52;0,00;3.561,35;-448,44;-14,41;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;ICONIC LUBRIFICANTES S.A;Duque de Caxias;RJ;Rodoviário;01/02/2026 17:11;68411/48093;"=""1""";;"=""48""";2428,800;43.625,50;5.421,12;0,00;0,00;0,00;2.863,28;2.863,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;638,67;0,00;638,67;867,39;212,89;0,00;3.730,67;1.690,45;31,18;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;ICONIC LUBRIFICANTES S.A;Duque de Caxias;RJ;Rodoviário;01/02/2026 17:11;68786/48543;"=""1""";;"=""48""";2428,800;43.625,50;;0,00;;;;;;;;;;;;;;11,87;;11,87;;3,96;;;;0,00;Complementar;68411/48093
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;SYNGENTA PROTECAO DE CULTIVOS LTDA;Paulínia;SP;Rodoviário;01/02/2026 17:15;68412/48094;"=""1""";;"=""360""";3960,000;80.126,28;4.207,27;0,00;0,00;0,00;2.181,96;2.181,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;504,87;0,00;504,87;673,16;168,29;0,00;2.855,12;1.352,15;32,14;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO RESINAS [CLRES];CAMPO LIMPO RESINAS [CLRES];Taubaté;SP;FOX SOLUTIONS INDUSTRIA E COMERCIO DE PLASTICOS LTDA;Várzea Paulista;SP;Rodoviário;01/02/2026 17:19;68413/48095;"=""1""";;"=""40""";26112,000;107.380,00;4.341,57;0,00;0,00;0,00;2.404,36;2.404,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;520,99;0,00;520,99;694,65;173,66;0,00;3.099,01;1.242,56;28,62;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;TRADECORP DO BRASIL COMERCIO DE INSUMOS AGRICOLAS LTDA;Monte Mor;SP;Rodoviário;01/02/2026 17:24;68414/48096;"=""1""";;"=""500""";2880,000;64.701,57;5.186,83;0,00;0,00;0,00;2.310,96;2.310,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;548,78;540,00;548,78;829,90;182,93;0,00;3.680,86;1.505,97;29,03;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;TRADECORP DO BRASIL COMERCIO DE INSUMOS AGRICOLAS LTDA;Monte Mor;SP;Rodoviário;01/02/2026 17:24;68784/48541;"=""1""";;"=""500""";2880,000;64.701,57;;0,00;;;;;;;;;;;;;;73,64;;73,64;;24,55;;;;0,00;Complementar;68414/48096
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];GESTAMP STA ISABEL [GSN];Santa Isabel;SP;GESTAMP SJP [GPA];São José dos Pinhais;PR;Rodoviário;01/02/2026 23:56;68415/48097;"=""1""";;"=""41""";23211,263;274.244,14;6.800,00;0,00;0,00;0,00;3.000,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;816,00;0,00;816,00;1.088,00;272,00;0,00;4.088,00;2.712,00;39,88;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;GESTAMP STA ISABEL [GSN];Santa Isabel;SP;GESTAMP SOROCABA;Sorocaba;SP;Rodoviário;02/02/2026 00:51;68416/48098;"=""1""";;"=""19""";6428,492;87.889,43;3.500,00;0,00;0,00;0,00;1.568,99;1.568,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;420,00;0,00;420,00;560,00;140,00;0,00;2.128,99;1.371,01;39,17;Normal;
